"","X1","X2","lake","year"
"site392",0.189040195569905,-0.0701451115991027,"elbow",NA
"site393",0.189040195569905,-0.0701451115991027,"elbow",NA
"site394",0.189040195569905,-0.0701451115991027,"elbow",NA
"site395",0.189040195569905,-0.0701451115991028,"elbow",NA
"site396",0.189040195569905,-0.0701451115991027,"elbow",NA
"site397",0.189040195569905,-0.0701451115991027,"elbow",NA
"site398",0.189040195569905,-0.0701451115991028,"elbow",NA
"site399",0.189040195569905,-0.0701451115991027,"elbow",NA
"site400",0.189040195569905,-0.0701451115991027,"elbow",NA
"site401",0.189040195569905,-0.0701451115991027,"elbow",NA
"site402",0.189040195569905,-0.0701451115991027,"elbow",NA
"site403",0.189040195569905,-0.0701451115991027,"elbow",NA
"site404",0.189040195569905,-0.0701451115991027,"elbow",NA
"site405",0.189040195569905,-0.0701451115991027,"elbow",NA
"site406",0.189040195569905,-0.0701451115991027,"elbow",NA
"site407",0.189040195569905,-0.0701451115991027,"elbow",NA
"site408",0.189040195569905,-0.0701451115991027,"elbow",NA
